subscription,resource_group
dev,rg-trail-boa-dev-cus-001
dev,ai_appi-trail-boa-dev_e884bade-0fe0-456a-9157-17f4d0c2b194_managed
dev,ai_appi-rdo-mill-dd-dev-cus-001_8aeda356-8c1f-494e-8368-b4020375e19a_managed
dev,NetworkWatcherRG
dev,rg-rdo-mill-dev-cus-001
dev,rg-trail-poa-dbw-dev-cus-001
dev,rg-trail-poa-dev-cus-001
Enterprise,CDA_POC
Enterprise,Trail_POC
prod,rg-trail-boa-prod-cus-001
prod,NetworkWatcherRG
prod,rg-platform-ops-prod-cus-001
prod,rg-rdo-mill-prod-cus-001
prod,rg-trail-poa-prod-cus-001
qa,rg-trail-boa-qa-cus-001
qa,NetworkWatcherRG
qa,rg-cda-qa-cus-001
qa,rg-rdo-mill-qa-cus-001
sub-aks-hub-dev,aks-hub-aks-dev
sub-aks-hub-dev,managed-rg-aks-hub-dev-cus-01
sub-aks-hub-dev,NetworkWatcherRG
sub-aks-hub-dev,rg-aks-hub-datadog-dev-cus
sub-aks-hub-dev,rg-aks-hub-dev-cus-6195
sub-aks-hub-dev,rg-aks-hub-gitops-connector-dev-cus-098c
sub-aks-hub-dev,rg-aks-hub-storage-dev
sub-aks-hub-prod,aks-hub-aks-prod
sub-aks-hub-prod,managed-rg-aks-hub-prod-cus-01
sub-aks-hub-prod,NetworkWatcherRG
sub-aks-hub-prod,rg-aks-hub-datadog-prod-cus
sub-aks-hub-prod,rg-aks-hub-datadog-prod-wus2
sub-aks-hub-prod,rg-aks-hub-gitops-connector-prod-cus-a692
sub-aks-hub-prod,rg-aks-hub-prod-cus-2649
sub-aks-hub-prod,rg-aks-hub-storage-prod
sub-aks-hub-uat,aks-hub-aks-uat
sub-aks-hub-uat,managed-rg-aks-hub-uat-cus-01
sub-aks-hub-uat,NetworkWatcherRG
sub-aks-hub-uat,rg-aks-hub-datadog-uat-cus
sub-aks-hub-uat,rg-aks-hub-gitops-connector-uat-cus-0d13
sub-aks-hub-uat,rg-aks-hub-storage-uat
sub-aks-hub-uat,rg-aks-hub-uat-cus-6b10
sub-api-hub-dev,ai_appi-api-hub-dev_acb3d826-4477-458b-b7ee-6ed428ee27b8_managed
sub-api-hub-dev,managed-rg-api-hub-dev-cus-01
sub-api-hub-dev,NetworkWatcherRG
sub-api-hub-dev,rg-api-hub-datadog-dev-cus
sub-api-hub-dev,rg-api-hub-datadog-dev-wus2
sub-api-hub-dev,rg-api-hub-dev-cus-8448
sub-api-hub-dev,rg-api-hub-dev-cus-8bac
sub-api-hub-prod,ai_appi-api-hub-prod_6f13f3eb-57cf-4c47-8564-25f0f37850a7_managed
sub-api-hub-prod,LogAnalyticsDefaultResources
sub-api-hub-prod,managed-rg-api-hub-prod-cus-01
sub-api-hub-prod,NetworkWatcherRG
sub-api-hub-prod,rg-api-hub-datadog-prod-cus
sub-api-hub-prod,rg-api-hub-datadog-prod-wus2
sub-api-hub-prod,rg-api-hub-prod-cus-a73b
sub-api-hub-prod,rg-api-hub-prod-cus-fb94
sub-com-excellence-dev,managed-rg-com-excellence-dev-cus-01
sub-com-excellence-dev,NetworkWatcherRG
sub-com-excellence-dev,rg-com-excellence-dev-cus-444c
sub-com-excellence-prod,managed-rg-com-excellence-prod-cus-01
sub-com-excellence-prod,NetworkWatcherRG
sub-com-excellence-prod,rg-com-excellence-prod-cus-2990
sub-com-excellence-uat,managed-rg-com-excellence-uat-cus-01
sub-com-excellence-uat,NetworkWatcherRG
sub-com-excellence-uat,rg-com-excellence-uat-cus-3940
sub-dab-dabo-prod,managed-rg-dab-dabo-prod-cus-01
sub-dab-dabo-prod,NetworkWatcherRG
sub-dab-dabo-prod,rg-dab-dabo-prod-cus-1b23
sub-dab-dabo-qa,managed-rg-dab-dabo-qa-cus-01
sub-dab-dabo-qa,NetworkWatcherRG
sub-dab-dabo-qa,rg-dab-dabo-qa-cus-cdd5
sub-gal-data-dev,managed-rg-gal-data-dev-cus-01
sub-gal-data-dev,NetworkWatcherRG
sub-gal-data-dev,rg-dabo-dev-cus-472e
sub-gal-data-dev,rg-gal-data-airflow-factory-dev-cus-f267
sub-gal-data-dev,rg-gal-data-dev-cus-02f2
sub-gal-data-dev,rg-lha-airflow-dev-cus-abaa
sub-gal-data-prod,managed-rg-gal-data-prod-cus-01
sub-gal-data-prod,NetworkWatcherRG
sub-gal-data-prod,rg-dabo-prod-cus-7121
sub-gal-data-prod,rg-gal-data-airflow-factory-prod-cus-e759
sub-gal-data-prod,rg-gal-data-prod-cus-9d69
